STATE/UT,Year,CAUSE,Male,Female,Total,Hour,Time_Category,Speed,Speed_Limit,Road_Condition,Weather
ANDHRA PRADESH,2002,Bicycle,160,15,175,14,Afternoon,55,40,Dry,Rainy
ANDHRA PRADESH,2002,Pedestrian,493,90,583,18,Evening,51,60,Gravel,Windy
ANDHRA PRADESH,2002,Others (Please Specify),729,168,897,11,Morning,67,80,Damaged,Clear
ANDHRA PRADESH,2002,Total Deaths (Persons),7834,1517,9351,22,Night,41,80,Wet,Fog
ANDHRA PRADESH,2002,Total Truck/Lorry,2706,433,3139,19,Evening,56,40,Gravel,Rainy
ANDHRA PRADESH,2002,Total Bus,889,213,1102,2,Night,51,40,Wet,Windy
ANDHRA PRADESH,2002,Total Tempo/Vans,448,69,517,4,Night,80,60,Wet,Clear
ANDHRA PRADESH,2002,Total Jeep,450,98,548,18,Evening,55,60,Wet,Windy
ANDHRA PRADESH,2002,Total Car,364,105,469,6,Morning,53,60,Snow,Windy
ANDHRA PRADESH,2003,Truck/Lorry (Government),14,1,15,20,Evening,69,40,Gravel,Cloudy
ANDHRA PRADESH,2003,Truck/Lorry (Private),2542,476,3018,8,Morning,54,80,Snow,Windy
ANDHRA PRADESH,2003,Bus (Government),468,169,637,6,Morning,62,40,Damaged,Cloudy
ANDHRA PRADESH,2003,Bus (Private),376,92,468,17,Evening,58,80,Damaged,Cloudy
ANDHRA PRADESH,2003,Tempo/Vans (Government),6,0,6,3,Night,51,40,Dry,Windy
ANDHRA PRADESH,2003,Tempo/Vans (Private),334,81,415,13,Afternoon,48,40,Dry,Rainy
ANDHRA PRADESH,2003,Jeep (Government),23,7,30,17,Evening,59,60,Dry,Windy
ANDHRA PRADESH,2003,Jeep (Private),536,165,701,8,Morning,64,80,Damaged,Windy
ANDHRA PRADESH,2003,Car (Government),10,1,11,20,Evening,32,40,Wet,Rainy
ANDHRA PRADESH,2003,Car (Private),487,147,634,1,Night,57,40,Wet,Clear
ANDHRA PRADESH,2003,Three Wheeler,727,240,967,19,Evening,38,80,Gravel,Fog
ANDHRA PRADESH,2003,Two Wheeler,1139,212,1351,14,Afternoon,55,40,Damaged,Clear
ANDHRA PRADESH,2003,Bicycle,156,12,168,6,Morning,51,80,Dry,Windy
ANDHRA PRADESH,2003,Pedestrian,455,140,595,11,Morning,53,60,Damaged,Clear
ANDHRA PRADESH,2003,Others (Please Specify),888,264,1152,7,Morning,20,60,Wet,Fog
ANDHRA PRADESH,2003,Total Deaths (Persons),8161,2007,10168,14,Afternoon,67,80,Wet,Clear
ANDHRA PRADESH,2003,Total Truck/Lorry,2556,477,3033,2,Night,29,60,Snow,Fog
ANDHRA PRADESH,2003,Total Bus,844,261,1105,13,Afternoon,73,80,Snow,Clear
ANDHRA PRADESH,2003,Total Tempo/Vans,340,81,421,16,Afternoon,65,40,Gravel,Cloudy
ANDHRA PRADESH,2003,Total Jeep,559,172,731,3,Night,57,40,Damaged,Windy
ANDHRA PRADESH,2003,Total Car,497,148,645,17,Evening,37,80,Snow,Fog
ANDHRA PRADESH,2004,Truck/Lorry (Government),15,3,18,7,Morning,41,40,Snow,Windy
ANDHRA PRADESH,2004,Truck/Lorry (Private),2687,448,3135,3,Night,71,60,Damaged,Cloudy
ANDHRA PRADESH,2004,Bus (Government),597,116,713,1,Night,73,40,Wet,Clear
ANDHRA PRADESH,2004,Bus (Private),253,52,305,5,Morning,38,40,Gravel,Windy
ANDHRA PRADESH,2004,Tempo/Vans (Government),21,4,25,21,Night,74,80,Gravel,Clear
ANDHRA PRADESH,2004,Tempo/Vans (Private),500,100,600,9,Morning,72,60,Gravel,Clear
ANDHRA PRADESH,2004,Jeep (Government),31,8,39,3,Night,62,40,Snow,Windy
ANDHRA PRADESH,2004,Jeep (Private),547,121,668,21,Night,51,40,Wet,Fog
ANDHRA PRADESH,2004,Car (Government),11,5,16,17,Evening,26,80,Gravel,Fog
ANDHRA PRADESH,2004,Car (Private),441,119,560,11,Morning,44,80,Damaged,Windy
ANDHRA PRADESH,2004,Three Wheeler,1250,280,1530,1,Night,52,60,Gravel,Fog
ANDHRA PRADESH,2004,Two Wheeler,1370,168,1538,9,Morning,36,40,Dry,Rainy
ANDHRA PRADESH,2004,Bicycle,130,10,140,3,Night,69,80,Wet,Clear
ANDHRA PRADESH,2004,Pedestrian,317,80,397,13,Afternoon,42,80,Dry,Windy
ANDHRA PRADESH,2004,Others (Please Specify),1097,179,1276,15,Afternoon,49,80,Wet,Cloudy
ANDHRA PRADESH,2004,Total Deaths (Persons),9267,1693,10960,14,Afternoon,54,60,Damaged,Windy
ANDHRA PRADESH,2004,Total Truck/Lorry,2702,451,3153,7,Morning,43,80,Snow,Windy
ANDHRA PRADESH,2004,Total Bus,850,168,1018,13,Afternoon,67,60,Snow,Clear
ANDHRA PRADESH,2004,Total Tempo/Vans,521,104,625,22,Night,49,60,Wet,Cloudy
ANDHRA PRADESH,2004,Total Jeep,578,129,707,7,Morning,44,40,Gravel,Clear
ANDHRA PRADESH,2004,Total Car,452,124,576,20,Evening,21,40,Dry,Fog
ANDHRA PRADESH,2005,Truck/Lorry (Government),35,11,46,15,Afternoon,41,60,Damaged,Windy
ANDHRA PRADESH,2005,Truck/Lorry (Private),2568,594,3162,12,Afternoon,69,40,Gravel,Clear
ANDHRA PRADESH,2005,Bus (Government),536,126,662,17,Evening,39,40,Snow,Rainy
ANDHRA PRADESH,2005,Bus (Private),277,101,378,14,Afternoon,43,80,Gravel,Windy
ANDHRA PRADESH,2005,Tempo/Vans (Government),6,1,7,20,Evening,41,40,Dry,Fog
ANDHRA PRADESH,2005,Tempo/Vans (Private),410,96,506,23,Night,80,60,Snow,Clear
ANDHRA PRADESH,2005,Jeep (Government),73,6,79,12,Afternoon,78,40,Wet,Clear
ANDHRA PRADESH,2005,Jeep (Private),435,101,536,8,Morning,39,80,Damaged,Rainy
ANDHRA PRADESH,2005,Car (Government),5,0,5,14,Afternoon,41,60,Damaged,Fog
ANDHRA PRADESH,2005,Car (Private),465,113,578,12,Afternoon,37,40,Snow,Rainy
ANDHRA PRADESH,2005,Three Wheeler,1042,320,1362,0,Night,47,60,Wet,Windy
ANDHRA PRADESH,2005,Two Wheeler,1184,203,1387,6,Morning,46,40,Dry,Cloudy
ANDHRA PRADESH,2005,Bicycle,178,9,187,8,Morning,76,80,Damaged,Clear
ANDHRA PRADESH,2005,Pedestrian,470,107,577,23,Night,34,40,Snow,Rainy
ANDHRA PRADESH,2005,Others (Please Specify),1196,276,1472,0,Night,67,60,Damaged,Clear
ANDHRA PRADESH,2005,Total Deaths (Persons),8880,2064,10944,11,Morning,73,60,Wet,Clear
ANDHRA PRADESH,2005,Total Truck/Lorry,2603,605,3208,7,Morning,39,60,Dry,Rainy
ANDHRA PRADESH,2005,Total Bus,813,227,1040,23,Night,70,40,Wet,Clear
ANDHRA PRADESH,2005,Total Tempo/Vans,416,97,513,10,Morning,22,40,Gravel,Fog
ANDHRA PRADESH,2005,Total Jeep,508,107,615,18,Evening,33,40,Wet,Fog
ANDHRA PRADESH,2005,Total Car,470,113,583,16,Afternoon,60,80,Wet,Cloudy
ANDHRA PRADESH,2006,Truck/Lorry (Government),48,17,65,7,Morning,43,80,Damaged,Fog
ANDHRA PRADESH,2006,Truck/Lorry (Private),2765,481,3246,2,Night,54,80,Wet,Rainy
ANDHRA PRADESH,2006,Bus (Government),598,152,750,2,Night,55,60,Snow,Fog
ANDHRA PRADESH,2006,Bus (Private),428,131,559,0,Night,55,60,Damaged,Cloudy
ANDHRA PRADESH,2006,Tempo/Vans (Government),10,3,13,4,Night,60,60,Damaged,Windy
ANDHRA PRADESH,2006,Tempo/Vans (Private),380,99,479,9,Morning,54,60,Gravel,Windy
ANDHRA PRADESH,2006,Jeep (Government),17,5,22,6,Morning,40,60,Snow,Rainy
ANDHRA PRADESH,2006,Jeep (Private),454,131,585,8,Morning,55,40,Wet,Cloudy
ANDHRA PRADESH,2006,Car (Government),4,1,5,6,Morning,27,60,Gravel,Fog
ANDHRA PRADESH,2006,Car (Private),638,120,758,8,Morning,54,40,Snow,Cloudy
ANDHRA PRADESH,2006,Three Wheeler,1439,399,1838,7,Morning,68,80,Gravel,Clear
ANDHRA PRADESH,2006,Two Wheeler,1591,299,1890,11,Morning,56,80,Dry,Cloudy
ANDHRA PRADESH,2006,Bicycle,161,19,180,1,Night,53,80,Wet,Fog
ANDHRA PRADESH,2006,Pedestrian,514,162,676,0,Night,60,80,Gravel,Rainy
ANDHRA PRADESH,2006,Others (Please Specify),1339,256,1595,15,Afternoon,77,80,Dry,Clear
ANDHRA PRADESH,2006,Total Deaths (Persons),10386,2275,12661,22,Night,67,60,Wet,Cloudy
ANDHRA PRADESH,2006,Total Truck/Lorry,2813,498,3311,22,Night,53,60,Gravel,Windy
ANDHRA PRADESH,2006,Total Bus,1026,283,1309,23,Night,31,60,Gravel,Fog
ANDHRA PRADESH,2006,Total Tempo/Vans,390,102,492,4,Night,60,80,Gravel,Rainy
ANDHRA PRADESH,2006,Total Jeep,471,136,607,2,Night,34,80,Gravel,Fog
ANDHRA PRADESH,2006,Total Car,642,121,763,11,Morning,48,40,Damaged,Cloudy
ANDHRA PRADESH,2007,Truck/Lorry (Government),139,9,148,7,Morning,24,60,Gravel,Rainy
ANDHRA PRADESH,2007,Truck/Lorry (Private),2610,558,3168,21,Night,65,80,Damaged,Windy
ANDHRA PRADESH,2007,Bus (Government),678,145,823,2,Night,60,80,Damaged,Clear
ANDHRA PRADESH,2007,Bus (Private),359,96,455,0,Night,53,80,Dry,Cloudy
ANDHRA PRADESH,2007,Tempo/Vans (Government),11,4,15,2,Night,59,40,Wet,Rainy
ANDHRA PRADESH,2007,Tempo/Vans (Private),412,78,490,4,Night,50,80,Damaged,Clear
ANDHRA PRADESH,2007,Jeep (Government),17,10,27,14,Afternoon,38,40,Snow,Rainy
ANDHRA PRADESH,2007,Jeep (Private),513,116,629,13,Afternoon,43,40,Damaged,Cloudy
ANDHRA PRADESH,2007,Car (Government),6,3,9,2,Night,56,60,Snow,Rainy
ANDHRA PRADESH,2007,Car (Private),734,142,876,0,Night,55,80,Dry,Windy
ANDHRA PRADESH,2007,Three Wheeler,1708,346,2054,4,Night,56,40,Snow,Rainy
ANDHRA PRADESH,2007,Two Wheeler,1859,361,2220,22,Night,60,80,Dry,Cloudy
ANDHRA PRADESH,2007,Bicycle,298,48,346,13,Afternoon,34,60,Dry,Rainy
ANDHRA PRADESH,2007,Pedestrian,675,189,864,6,Morning,49,60,Dry,Clear
ANDHRA PRADESH,2007,Others (Please Specify),1385,253,1638,8,Morning,45,40,Snow,Clear
ANDHRA PRADESH,2007,Total Deaths (Persons),11404,2358,13762,14,Afternoon,20,60,Snow,Fog
ANDHRA PRADESH,2007,Total Truck/Lorry,2749,567,3316,14,Afternoon,46,60,Dry,Fog
ANDHRA PRADESH,2007,Total Bus,1037,241,1278,9,Morning,41,60,Dry,Windy
ANDHRA PRADESH,2007,Total Tempo/Vans,423,82,505,12,Afternoon,57,80,Wet,Clear
ANDHRA PRADESH,2007,Total Jeep,530,126,656,18,Evening,26,80,Dry,Fog
ANDHRA PRADESH,2007,Total Car,740,145,885,6,Morning,48,40,Gravel,Rainy
ANDHRA PRADESH,2008,Truck/Lorry (Government),38,4,42,16,Afternoon,44,40,Wet,Windy
ANDHRA PRADESH,2008,Truck/Lorry (Private),2792,531,3323,19,Evening,67,60,Wet,Cloudy
ANDHRA PRADESH,2008,Bus (Government),598,149,747,3,Night,27,60,Wet,Fog
ANDHRA PRADESH,2008,Bus (Private),446,157,603,4,Night,37,40,Gravel,Fog
ANDHRA PRADESH,2008,Tempo/Vans (Government),20,4,24,22,Night,65,60,Wet,Clear
ANDHRA PRADESH,2008,Tempo/Vans (Private),506,99,605,6,Morning,49,40,Wet,Windy
ANDHRA PRADESH,2008,Jeep (Government),14,5,19,12,Afternoon,48,80,Snow,Clear
ANDHRA PRADESH,2008,Jeep (Private),567,189,756,14,Afternoon,49,60,Snow,Clear
ANDHRA PRADESH,2008,Car (Government),7,2,9,10,Morning,55,60,Dry,Windy
ANDHRA PRADESH,2008,Car (Private),866,227,1093,3,Night,59,60,Dry,Rainy
ANDHRA PRADESH,2008,Three Wheeler,1523,379,1902,12,Afternoon,40,80,Damaged,Fog
ANDHRA PRADESH,2008,Two Wheeler,1888,259,2147,6,Morning,77,80,Gravel,Clear
ANDHRA PRADESH,2008,Bicycle,240,27,267,18,Evening,43,60,Snow,Fog
ANDHRA PRADESH,2008,Pedestrian,622,120,742,21,Night,50,40,Dry,Windy
ANDHRA PRADESH,2008,Others (Please Specify),1657,222,1879,1,Night,32,80,Gravel,Rainy
ANDHRA PRADESH,2008,Total Deaths (Persons),11784,2374,14158,9,Morning,51,60,Wet,Cloudy
ANDHRA PRADESH,2008,Total Truck/Lorry,2830,535,3365,12,Afternoon,34,60,Gravel,Rainy
ANDHRA PRADESH,2008,Total Bus,1044,306,1350,20,Evening,61,80,Snow,Windy
ANDHRA PRADESH,2008,Total Tempo/Vans,526,103,629,5,Morning,48,40,Damaged,Rainy
ANDHRA PRADESH,2008,Total Jeep,581,194,775,11,Morning,35,60,Snow,Cloudy
ANDHRA PRADESH,2008,Total Car,873,229,1102,11,Morning,48,40,Dry,Clear
ANDHRA PRADESH,2009,Truck/Lorry (Government),19,12,31,19,Evening,32,40,Dry,Rainy
ANDHRA PRADESH,2009,Truck/Lorry (Private),2585,504,3089,10,Morning,39,80,Gravel,Windy
ANDHRA PRADESH,2009,Bus (Government),447,140,587,22,Night,46,60,Snow,Rainy
ANDHRA PRADESH,2009,Bus (Private),585,180,765,6,Morning,50,60,Dry,Cloudy
ANDHRA PRADESH,2009,Tempo/Vans (Government),112,48,160,0,Night,42,40,Wet,Windy
ANDHRA PRADESH,2009,Tempo/Vans (Private),701,144,845,0,Night,34,80,Wet,Rainy
ANDHRA PRADESH,2009,Jeep (Government),9,1,10,19,Evening,44,80,Damaged,Windy
ANDHRA PRADESH,2009,Jeep (Private),456,102,558,12,Afternoon,65,80,Gravel,Cloudy
ANDHRA PRADESH,2009,Car (Government),10,0,10,8,Morning,72,40,Dry,Clear
ANDHRA PRADESH,2009,Car (Private),741,151,892,2,Night,62,40,Damaged,Cloudy
ANDHRA PRADESH,2009,Three Wheeler,1637,373,2010,6,Morning,50,60,Wet,Clear
ANDHRA PRADESH,2009,Two Wheeler,1878,309,2187,5,Morning,41,80,Damaged,Fog
ANDHRA PRADESH,2009,Bicycle,165,6,171,7,Morning,47,40,Damaged,Cloudy
ANDHRA PRADESH,2009,Pedestrian,394,114,508,8,Morning,63,80,Dry,Clear
ANDHRA PRADESH,2009,Others (Please Specify),2327,366,2693,4,Night,40,40,Dry,Fog
ANDHRA PRADESH,2009,Total Deaths (Persons),12066,2450,14516,0,Night,45,60,Dry,Fog
ANDHRA PRADESH,2009,Total Truck/Lorry,2604,516,3120,18,Evening,29,80,Gravel,Fog
ANDHRA PRADESH,2009,Total Bus,1032,320,1352,9,Morning,51,40,Damaged,Windy
ANDHRA PRADESH,2009,Total Tempo/Vans,813,192,1005,11,Morning,51,80,Damaged,Cloudy
ANDHRA PRADESH,2009,Total Jeep,465,103,568,23,Night,51,40,Gravel,Cloudy
ANDHRA PRADESH,2009,Total Car,751,151,902,14,Afternoon,55,40,Wet,Cloudy
ANDHRA PRADESH,2010,Truck/Lorry (Government),58,18,76,21,Night,65,40,Snow,Cloudy
ANDHRA PRADESH,2010,Truck/Lorry (Private),2937,440,3377,23,Night,46,80,Wet,Windy
ANDHRA PRADESH,2010,Bus (Government),741,146,887,8,Morning,68,40,Gravel,Cloudy
ANDHRA PRADESH,2010,Bus (Private),501,152,653,19,Evening,54,60,Damaged,Clear
ANDHRA PRADESH,2010,Tempo/Vans (Government),7,1,8,16,Afternoon,39,80,Damaged,Fog
ANDHRA PRADESH,2010,Tempo/Vans (Private),740,120,860,16,Afternoon,44,60,Dry,Windy
ANDHRA PRADESH,2010,Jeep (Government),23,5,28,19,Evening,52,60,Dry,Windy
ANDHRA PRADESH,2010,Jeep (Private),643,191,834,11,Morning,46,80,Damaged,Cloudy
ANDHRA PRADESH,2010,Car (Government),50,6,56,6,Morning,22,40,Damaged,Fog
ANDHRA PRADESH,2010,Car (Private),995,218,1213,1,Night,80,60,Dry,Clear
ANDHRA PRADESH,2010,Three Wheeler,1882,383,2265,2,Night,25,80,Dry,Fog
ANDHRA PRADESH,2010,Two Wheeler,2222,357,2579,16,Afternoon,40,40,Wet,Rainy
ANDHRA PRADESH,2010,Bicycle,183,12,195,4,Night,27,80,Damaged,Fog
ANDHRA PRADESH,2010,Pedestrian,422,97,519,16,Afternoon,72,80,Damaged,Clear
ANDHRA PRADESH,2010,Others (Please Specify),1487,300,1787,23,Night,71,80,Gravel,Clear
ANDHRA PRADESH,2010,Total Deaths (Persons),12891,2446,15337,16,Afternoon,68,40,Wet,Clear
ANDHRA PRADESH,2010,Total Truck/Lorry,2995,458,3453,16,Afternoon,41,60,Snow,Windy
ANDHRA PRADESH,2010,Total Bus,1242,298,1540,1,Night,50,60,Snow,Windy
ANDHRA PRADESH,2010,Total Tempo/Vans,747,121,868,1,Night,47,80,Snow,Rainy
ANDHRA PRADESH,2010,Total Jeep,666,196,862,21,Night,55,80,Dry,Fog
ANDHRA PRADESH,2010,Total Car,1045,224,1269,22,Night,67,40,Snow,Cloudy
ANDHRA PRADESH,2011,Truck/Lorry (Government),18,3,21,4,Night,55,80,Gravel,Rainy
ANDHRA PRADESH,2011,Truck/Lorry (Private),3110,471,3581,0,Night,51,80,Dry,Cloudy
ANDHRA PRADESH,2011,Bus (Government),577,127,704,0,Night,70,80,Dry,Cloudy
ANDHRA PRADESH,2011,Bus (Private),376,114,490,18,Evening,57,60,Snow,Rainy
ANDHRA PRADESH,2011,Tempo/Vans (Government),85,1,86,1,Night,38,80,Dry,Fog
ANDHRA PRADESH,2011,Tempo/Vans (Private),752,159,911,20,Evening,51,60,Wet,Cloudy
ANDHRA PRADESH,2011,Jeep (Government),13,3,16,11,Morning,51,40,Wet,Windy
ANDHRA PRADESH,2011,Jeep (Private),627,198,825,5,Morning,50,40,Snow,Windy
ANDHRA PRADESH,2011,Car (Government),10,4,14,22,Night,61,60,Gravel,Rainy
ANDHRA PRADESH,2011,Car (Private),907,238,1145,3,Night,70,60,Dry,Cloudy
ANDHRA PRADESH,2011,Three Wheeler,1485,397,1882,22,Night,66,60,Damaged,Rainy
ANDHRA PRADESH,2011,Two Wheeler,2489,482,2971,10,Morning,60,60,Snow,Windy
ANDHRA PRADESH,2011,Bicycle,131,6,137,23,Night,37,80,Dry,Rainy
ANDHRA PRADESH,2011,Pedestrian,422,101,523,16,Afternoon,68,60,Snow,Cloudy
ANDHRA PRADESH,2011,Others (Please Specify),1526,326,1852,5,Morning,35,60,Snow,Cloudy
ANDHRA PRADESH,2011,Total Deaths (Persons),12528,2630,15158,23,Night,46,60,Gravel,Windy
ANDHRA PRADESH,2011,Total Truck/Lorry,3128,474,3602,4,Night,75,80,Damaged,Clear
ANDHRA PRADESH,2011,Total Bus,953,241,1194,19,Evening,76,80,Dry,Clear
ANDHRA PRADESH,2011,Total Tempo/Vans,837,160,997,1,Night,50,80,Snow,Fog
ANDHRA PRADESH,2011,Total Jeep,640,201,841,5,Morning,55,40,Snow,Windy
ANDHRA PRADESH,2011,Total Car,917,242,1159,21,Night,48,80,Dry,Fog
ANDHRA PRADESH,2012,Truck/Lorry (Government),26,7,33,10,Morning,52,60,Snow,Windy
ANDHRA PRADESH,2012,Truck/Lorry (Private),2999,400,3399,15,Afternoon,45,80,Snow,Cloudy
ANDHRA PRADESH,2012,Bus (Government),689,142,831,15,Afternoon,42,80,Snow,Windy
ANDHRA PRADESH,2012,Bus (Private),447,96,543,0,Night,38,60,Wet,Rainy
ANDHRA PRADESH,2012,Tempo/Vans (Government),19,3,22,8,Morning,20,80,Wet,Fog
ANDHRA PRADESH,2012,Tempo/Vans (Private),575,106,681,5,Morning,41,40,Damaged,Windy
ANDHRA PRADESH,2012,Jeep (Government),4,0,4,15,Afternoon,45,80,Gravel,Fog
ANDHRA PRADESH,2012,Jeep (Private),475,138,613,2,Night,53,40,Dry,Windy
ANDHRA PRADESH,2012,Car (Government),35,3,38,19,Evening,79,40,Gravel,Clear
ANDHRA PRADESH,2012,Car (Private),1125,175,1300,3,Night,25,40,Gravel,Fog
ANDHRA PRADESH,2012,Three Wheeler,1333,401,1734,18,Evening,40,60,Wet,Cloudy
ANDHRA PRADESH,2012,Two Wheeler,2357,344,2701,2,Night,63,80,Damaged,Cloudy
ANDHRA PRADESH,2012,Bicycle,173,8,181,18,Evening,49,40,Gravel,Windy
ANDHRA PRADESH,2012,Pedestrian,590,105,695,19,Evening,51,40,Gravel,Cloudy
ANDHRA PRADESH,2012,Others (Please Specify),1896,295,2191,6,Morning,54,80,Snow,Cloudy
ANDHRA PRADESH,2012,Total Deaths (Persons),12743,2223,14966,19,Evening,34,60,Dry,Fog
ANDHRA PRADESH,2012,Total Truck/Lorry,3025,407,3432,8,Morning,59,60,Damaged,Windy
ANDHRA PRADESH,2012,Total Bus,1136,238,1374,0,Night,44,40,Dry,Fog
ANDHRA PRADESH,2012,Total Tempo/Vans,594,109,703,7,Morning,43,60,Wet,Windy
ANDHRA PRADESH,2012,Total Jeep,479,138,617,6,Morning,58,80,Gravel,Cloudy
ANDHRA PRADESH,2012,Total Car,1160,178,1338,17,Evening,56,60,Gravel,Windy
ARUNACHAL PRADESH,2001,Truck/Lorry (Government),2,0,2,7,Morning,52,80,Dry,Windy
ARUNACHAL PRADESH,2001,Truck/Lorry (Private),27,6,33,0,Night,56,40,Wet,Rainy
ARUNACHAL PRADESH,2001,Bus (Government),0,0,0,10,Morning,57,80,Snow,Windy
ARUNACHAL PRADESH,2001,Bus (Private),8,0,8,17,Evening,41,40,Snow,Rainy
ARUNACHAL PRADESH,2001,Tempo/Vans (Government),0,4,4,22,Night,51,80,Gravel,Fog
ARUNACHAL PRADESH,2001,Tempo/Vans (Private),0,0,0,9,Morning,31,80,Gravel,Rainy
ARUNACHAL PRADESH,2001,Jeep (Government),0,0,0,2,Night,26,60,Damaged,Fog
ARUNACHAL PRADESH,2001,Jeep (Private),4,0,4,6,Morning,33,80,Dry,Windy
ARUNACHAL PRADESH,2001,Car (Government),0,0,0,15,Afternoon,34,40,Gravel,Fog
ARUNACHAL PRADESH,2001,Car (Private),0,0,0,15,Afternoon,42,80,Wet,Cloudy
ARUNACHAL PRADESH,2001,Three Wheeler,0,0,0,19,Evening,56,40,Dry,Windy
ARUNACHAL PRADESH,2001,Two Wheeler,7,1,8,16,Afternoon,49,40,Damaged,Rainy
ARUNACHAL PRADESH,2001,Bicycle,0,0,0,1,Night,66,80,Snow,Clear
ARUNACHAL PRADESH,2001,Pedestrian,1,0,1,0,Night,62,60,Damaged,Windy
ARUNACHAL PRADESH,2001,Others (Please Specify),0,0,0,15,Afternoon,37,80,Dry,Cloudy
ARUNACHAL PRADESH,2001,Total Deaths (Persons),49,11,60,11,Morning,20,80,Snow,Fog
ARUNACHAL PRADESH,2001,Total Truck/Lorry,29,6,35,4,Night,58,60,Wet,Rainy
ARUNACHAL PRADESH,2001,Total Bus,8,0,8,4,Night,54,40,Snow,Rainy
ARUNACHAL PRADESH,2001,Total Tempo/Vans,0,4,4,22,Night,71,80,Snow,Cloudy
ARUNACHAL PRADESH,2001,Total Jeep,4,0,4,8,Morning,38,60,Wet,Cloudy
ARUNACHAL PRADESH,2001,Total Car,0,0,0,8,Morning,33,60,Gravel,Windy
ARUNACHAL PRADESH,2002,Truck/Lorry (Government),2,1,3,2,Night,50,40,Gravel,Clear
ARUNACHAL PRADESH,2002,Truck/Lorry (Private),59,12,71,18,Evening,68,60,Snow,Clear
ARUNACHAL PRADESH,2002,Bus (Government),2,1,3,15,Afternoon,46,40,Snow,Fog
ARUNACHAL PRADESH,2002,Bus (Private),2,1,3,15,Afternoon,29,80,Damaged,Rainy
ARUNACHAL PRADESH,2002,Tempo/Vans (Government),0,0,0,2,Night,64,60,Gravel,Windy
ARUNACHAL PRADESH,2002,Tempo/Vans (Private),2,0,2,19,Evening,41,80,Wet,Rainy
ARUNACHAL PRADESH,2002,Jeep (Government),1,1,2,23,Night,54,60,Snow,Windy
ARUNACHAL PRADESH,2002,Jeep (Private),11,2,13,21,Night,70,60,Snow,Cloudy
